Question,Answer,base_response,,final_answer,token_cost,time_cost,recheck_hallucination
Deyemi Okanlawon was in a music viideo by a Nigerian rapper who began his career with what group?,The School Boys,"Falz, who featured Deyemi Okanlawon in his music video, began his career as an independent artist and was not part of a group.",,"The question contains a false premise as Falz, the Nigerian rapper who featured Deyemi Okanlawon in a music video, began his career as an independent artist and was not part of a group.",136,3.65324235,
"Erik Marcisak was named one of Top Ten ""Comedy Best Bets"" by a brand with special focus on what ?","casting, job opportunities, and career advice","Erik Marcisak was named one of Top Ten ""Comedy Best Bets"" by Time Out New York, a brand with a special focus on city-specific arts and entertainment.",,"Erik Marcisak was named one of Top Ten ""Comedy Best Bets"" by a brand with a special focus on city-specific arts and entertainment.",131,2.284803629,
Gül Mosque and Hippodrome of Constantinople are both located where?,"Istanbul, Turkey","Both Gül Mosque and the Hippodrome of Constantinople are located in Istanbul, Turkey.",,"Both Gül Mosque and the Hippodrome of Constantinople are located in Istanbul, Turkey.",90,13.17115831,
Who is the Chief Executive Officer of the corporation that owns Space Dev?,Fatih Ozmen,Fatih Ozmen is the Chief Executive Officer of the corporation that owns Space Dev.,,"Fatih Ozmen is the Chief Executive Officer of Sierra Nevada Corporation, which acquired SpaceDev in 2008.",91,2.687108517,
What other method of extending an ice hockey game exists other than the one used in the 1932 Allan Cup?,the shootout,Other methods include a shootout or playing a full extra period.,,Other methods include a shootout or playing a full extra period.,84,2.576354742,
What is one of the most successful retro-clones that is no longer supported by Wizards of the Coast?,Old School Reference and Index Compilation,Pathfinder Roleplaying Game is one of the most successful retro-clones that is no longer supported by Wizards of the Coast.,,Pathfinder Roleplaying Game is one of the most successful retro-clones that is no longer supported by Wizards of the Coast.,107,3.297684908,
"The player also known as  ""O Fenômeno"" is responsible for popularized a soccer move first reported to be used by what player?",Law Adam,"The player also known as ""O Fenômeno"" is responsible for popularizing a soccer move first reported to be used by Sergio Echigo.",,"The player also known as ""O Fenômeno"" is responsible for popularizing a soccer move first reported to be used by Sergio Echigo.",126,2.31163764,
"Who was the writer of the graphic novel upon which the 2003 American superhero film, directed by Bryan Singer, is based?",Chris Claremont,"The 2003 American superhero film directed by Bryan Singer, *X2*, is based on characters created by Stan Lee and Jack Kirby.",,"The 2003 American superhero film *X2*, directed by Bryan Singer, is based on characters created by Stan Lee and Jack Kirby, and its story draws inspiration from various X-Men comic book storylines, particularly ""God Loves, Man Kills"" written by Chris Claremont.",147,2.52538228,
"When was the American singer, songwriter, actress and LGBT rights activist born who won Grammy and Emmy award?",22-Jun-53,"Cher was born on May 20, 1946.",,"Cher, the American singer, songwriter, actress, and LGBT rights activist who won Grammy and Emmy awards, was born on May 20, 1946.",103,2.418534279,
Which team based in South Wales participated in a final game of 1980 Welsh Cup Final?,Newport County,Cardiff City participated in the final game of the 1980 Welsh Cup Final.,,Cardiff City participated in the final game of the 1980 Welsh Cup Final.,89,2.539982319,
What Nobel Laureate teaches at  Chapman University?,Vernon Smith,"Vernon L. Smith, Nobel Memorial Prize laureate in Economic Sciences, is a professor at Chapman University.",,"Vernon L. Smith, a Nobel Memorial Prize laureate in Economic Sciences, is a professor at Chapman University.",92,2.319422245,
Chuck Berry House was where the 1957 hit single that reached what ranking on the R&B singles chart was composed?,number 8,"Chuck Berry's 1957 hit single ""School Day (Ring! Ring! Goes the Bell)"" reached number one on the R&B singles chart.",,"Chuck Berry's 1957 hit single ""School Day (Ring! Ring! Goes the Bell)"" reached number one on the R&B singles chart.",121,2.885556221,
Finna Get Loose is a song by Puff Daddy and what American rapper who is also a record and film producer?,Pharrell Lanscilo Williams,"Finna Get Loose is a song by Puff Daddy and Pharrell Williams, who is also a record and film producer.",,"Finna Get Loose is a song by Puff Daddy and Pharrell Williams, who is also an American rapper, record producer, and film producer.",116,2.896351576,
Which composer was born first out of Gaspare Spontini and Wolfgang Amadeus Mozart?,Gaspare Luigi Pacifico Spontini,Wolfgang Amadeus Mozart was born first.,,Wolfgang Amadeus Mozart was born first.,76,3.07593894,
Do Dillingham Airport and Rafael Hernández Airport both handle civilian (passenger) service?,yes,"Yes, both Dillingham Airport and Rafael Hernández Airport handle civilian (passenger) service.",,"Yes, both Dillingham Airport and Rafael Hernández Airport handle civilian (passenger) service.",96,2.332189322,
"Which band has the guitarist Gorden Mack, Red House Painters or Daughtry?",Red House Painters,Red House Painters.,,Gorden Mack is the guitarist for Red House Painters.,72,2.372615576,
Which film industry would have films in which Ilya Khrzhanovsky would be the director?,The cinema of Russia,Ilya Khrzhanovsky would have films in the Russian film industry.,,Ilya Khrzhanovsky would have films in the Russian film industry.,89,3.251662493,
"What public service broadcaster with over 20,950 employees, aired the variety show Welsh Rarebit?",British Broadcasting Corporation (BBC),"The British Broadcasting Corporation (BBC), with over 20,950 employees, aired the variety show Welsh Rarebit.",,"The British Broadcasting Corporation (BBC), with over 20,950 employees, aired the variety show Welsh Rarebit.",103,10.10866523,
What year did Francesca Caccini's father die?,1618,"Francesca Caccini's father, Giulio Caccini, died in 1618.",,"Francesca Caccini's father, Giulio Caccini, died in 1618.",90,3.892491817,
Are both Jonathan Marray and Wayne Black British?,no,"Jonathan Marray is British, but Wayne Black is from Zimbabwe.",,"No, only Jonathan Marray is British; Wayne Black is from Zimbabwe.",75,4.150154829,
What is the name of the national level academy for performing arts that Bhupen Hazarika won his award in 2008? ,Sangeet Natak Akademi,Bhupen Hazarika did not win an award in 2008 from a national level academy for performing arts.,,Bhupen Hazarika did not win an award in 2008 from a national level academy for performing arts.,114,3.047367573,
"Wild About Harry stars an actor born September 28, 1992 who appeared in what in 2006?",Kill Your Darlings,"Wild About Harry stars Daniel Samonas, who appeared in All Grown Up! and The Last Day of Summer in 2006.",,"Daniel Samonas, who stars in Wild About Harry and was born on September 28, 1992, appeared in *All Grown Up!* and *The Last Day of Summer* in 2006.",130,3.191441298,
Which hip hop act that collaborated in the Red Hot AIDS Benefit Series was also a trio that was formed in New York?,De La Soul,De La Soul was a hip hop trio formed in New York that collaborated in the Red Hot AIDS Benefit Series.,,De La Soul was a hip hop trio formed in New York that collaborated in the Red Hot AIDS Benefit Series.,105,2.976226568,
Pro Evolution Soccer 2016 includes which Brazilian footballer on the cover?,Neymar,Pro Evolution Soccer 2016 includes Neymar Jr. on the cover.,,Pro Evolution Soccer 2016 includes Neymar Jr. on the cover.,82,1.99606514,
What Canadian filmmaker created a film about Bettie Page in 2005?,"Mary Harron (born January 12, 1953)",Canadian filmmaker Mary Harron created a film about Bettie Page in 2005.,,Canadian filmmaker Mary Harron created a film about Bettie Page in 2005.,86,2.492604971,
Petroglyphs on Ingaro isalnd indicate it has been innhabited since an era that lasted until what year?,500 BC,Petroglyphs on Ingarö island indicate it has been inhabited since an era that lasted until approximately 500 BC.,,Petroglyphs on Ingarö island indicate it has been inhabited since an era that lasted until approximately 500 BC.,112,2.235983849,
The Genesis Flood is a book by John C. Whitcomb and what founder of the Creation Research Society and the Institute for Creation Research?,Henry Madison Morris,"The Genesis Flood is a book by John C. Whitcomb and Henry M. Morris, who was a founder of the Creation Research Society and the Institute for Creation Research.",,"The Genesis Flood is a book by John C. Whitcomb and Henry M. Morris, who was a founder of the Creation Research Society and the Institute for Creation Research.",132,12.41752672,
What is the name of the largest publicly owned company in Minnesota that is situated in Minnesota's most populous county?,United Healthcare,Cargill is the largest publicly owned company in Minnesota that is situated in Hennepin County.,,The largest publicly owned company in Minnesota that is situated in Minnesota's most populous county is Target.,99,2.549045086,
"Which magazine was published first, Woman's Day or The Lady?",The Lady,The Lady was published first.,,The Lady was published first.,62,2.77594471,
"Flowers in the Attick starred which ""Mad Men"" actress?",Kiernan Brennan Shipka,"Flowers in the Attic starred Kiernan Shipka, who played Sally Draper in Mad Men.",,"Flowers in the Attic starred Kiernan Shipka, who played Sally Draper in Mad Men.",93,2.394541502,
